NAMA DAN KODE AKUN,,,,,,
"KAS, BANK, PENDAPATAN DAN BIAYA",,,,,,
NO,NAMA AKUN,KODE AKUN,,,,
1,KAS,1001,,,,
2,LPD 12.05163/DL/2020 KIOS,1010,,,,
3,LPD 12.005150/DL/2020,1014,,,,
4,LPD 12.05165/DL/2020 PARKIR,1015,,,,
5,LPD 12.05167/DL/2020 BEJI,1016,,,,
6,LPD 12.03905/DL/2018 SHUTLE BUS,1017,,,,
7,LPD 12.05164/DL/2020 TOILET,1018,,,,
8,LPD BUNGA DEPOSITO 14.15498,1019,,,,
9,LPD BUNGA DEPOSITO 14.15946,1020,,,,
10,LPD BUNGA DEPOSITO 14.16005,1021,,,,
11,KSU USAHA MANDIRI 1519,1028,,,,
12,BANK BPD UBUD 0190202182457,1029,,,,
13,LPD DEPOSITO 15498/SSB/V/2020,1030,,,,
14,LPD DEPOSITO 15946/SSB/LPB/X/2020,1031,,,,
15,LPD DEPOSITO 16005/SSB/LPB/XI/2020,1032,,,,
16,LPD 12.06558 PUNIA PIODALAN,1036,,,,
17,PIUTANG LAIN LAIN,1050,,,,
18,HUTANG LAIN-LAIN,2050,,,,
19,MODAL,3000,,,,
20,SALDO KUMULATIF MULAI 10 MARET 2018,3001,,,,
21,SALDO BERJALAN,3002,,,,
22,PENDAPATAN BEJI,4001,,,,
23,PENDAPATAN TOILET,4002,,,,
24,PEDAPATAN KIOS,4003,,,,
25,PENDAPATAN SHUTLE BUS,4004,,,,
26,PENDAPATAN PARKIR,4005,,,,
27,PENDAPATAN KONTRAKAN,4007,,,,
28,PENDAPATAN PUNIA,4008,,,,
29,PENDAPATAN BUNGA BANK,4009,,,,
30,PENDAPATAN LABA PURA,4020,,,,
31,PENDAPATAN SESARI,4041,,,,
32,DANA PEMBANGUNAN / SHU DARI LPD,4042,,,,
33,PENDAPATAN LAIN LAIN,4050,,,,
34,BIAYA KESEKRETARIATAN,5000,,,,
35,BAGA KASUKERTAN,5001,,,,
36,BAGA PAMITEGEP,5002,,,,
37,BAGA WEWANGUNAN,5003,,,,
38,BAGA UPAKARA,5004,,,,
39,BAGA WAHANA,5005,,,,
40,BAGA HUMAS,5006,,,,
41,BAGA BOGA,5007,,,,
42,BAGA WEWALEN/DEKORASI,5008,,,,
43,BAGA MERERESIK,5009,,,,
44,"BAGA SUAR (TELPON, LISTRIK, PDAM)",5010,,,,
45,BIAYA PIODALAN,5030,,,,
46,BIAYA PROYEK,5031,,,,
47,BIAYA ADMINISTRASI DAN PAJAK BANK,5040,,,,
48,BIAYA LAIN-LAIN,5050,,,,
,,,,,,
NB,"UNTUK SALDO KUMULATIF (NO. 20) DAN SALDO BERJALAN (NO. 21) BELUM PERNAH DENGER DLM ISTILAH LAPORAN KEUANGAN, YG LAZIM HANYA SALDO AWAL DAN SALDO AKHIR SAJA",,,,,
,,,,,,
